智能--它是什么？	Intelligence -- what is it?
对于大多数试图自杀者， 或考虑自杀的人， 他们不会想到会伤害到另一个人，	For most suicidal folks, or those contemplating suicide, they wouldn't think of hurting another person.
他们就是想结束自己的痛苦。	They just want their own pain to end.
通常，只有三种方法可以实现： 睡觉，毒品或酒精，或是死亡。	Typically, this is accomplished in just three ways: sleep, drugs or alcohol, or death.
在我的职业生涯中， 我参与了数百起 大桥附近的精神疾病和自杀报案。 大桥附近的精神疾病和自杀报案。	In my career, I've responded to and been involved in hundreds of mental illness and suicide calls around the bridge.
其中我直接参与的事件里， 我只失去了两个， 但两个实在太多了。	Of those incidents I've been directly involved with, I've only lost two, but that's two too many.
一个是杰森。	One was Jason.
另外一个是名男子， 我和他谈了大约一个小时。	The other was a man I spoke to for about an hour.
在那一小时里， 他三次与我握手。	During that time, he shook my hand on three occasions.
最后一次握手时， 他看着我说， "凯文，我很抱歉，我得走了。"	On that final handshake, he looked at me, and he said, "Kevin, I'm sorry, but I have to go."
他一跃而下。	And he leapt.
太可怕了，真的太可怕了。 但我真的想告诉你们， 绝大多数 我们在桥上与之有过接触的人	I do want to tell you, though, the vast majority of folks that we do get to contact on that bridge do not commit suicide.
都没有自杀。 另外， 那些跳下桥并且幸存的极少数， 那些能说起这件事的人， 那百分之一、二的人， 其中多数人都说， 他们放开护栏的一瞬间， 他们知道了自己犯下了一个错误，	Additionally, that very few who have jumped off the bridge and lived and can talk about it, that one to two percent, most of those folks have said that the second that they let go of that rail, they knew that they had made a mistake and they wanted to live.
他们想活。 我告诉人们，金门大桥连接的 不仅是马林县与旧金山，	I tell people, the bridge not only connects Marin to San Francisco, but people together also.
也连接着人与人之间。 这种连接，或者我们所建的这座桥， 代表着我们每一个人应当	That connection, or bridge that we make, is something that each and every one of us should strive to do.
为之而努力的东西。	Suicide is preventable.
自杀是可以避免的。	There is help. There is hope.
有帮助，也有希望。	Thank you very much.
扩增实境 职业橄榄球 这二者和同理心有何关系？	What do augmented reality and professional football have to do with empathy?
未负重的燕子 飞行的空速是多少？	And what is the air speed velocity of an unladen swallow?
遗憾的是 今天我只会回答其中一个问题 所以请不要感到沮丧	Now unfortunately, I'm only going to answer one of those questions today, so please, try and contain your disappointment.
当大多数人想到扩增实境时 他们会想到电影"少数派报告" 以及汤姆·克鲁斯 在空中挥舞着双手的场景 但扩增实境并不是科幻小说	When most people think about augmented reality, they think about "Minority Report" and Tom Cruise waving his hands in the air, but augmented reality is not science fiction.
这项技术 会在我们有生之年成为现实 因为我们有办法去实现它 大家需要意识到这点 扩增实境将改变我们的生活 如同互联网和手机那样	Augmented reality is something that will happen in our lifetime, and it will happen because we have the tools to make it happen, and people need to be aware of that, because augmented reality will change our lives just as much as the Internet and the cell phone.
那么我们怎么才能实现扩增实境呢？	Now how do we get to augmented reality?
首先就是戴上我现在用的这个东西 谷歌眼镜	Step one is the step I'm wearing right now, Google Glass.
相信在场有很多人都对它不陌生	I'm sure many of you are familiar with Google Glass.
但你可能并不知道 谷歌眼镜还可以 让你看到我所看到的一切	What you may not be familiar with is that Google Glass is a device that will allow you to see what I see.
它能让你体会到 身为职业运动员在赛场上的感受	It will allow you to experience what it is like to be a professional athlete on the field.
而现在，要想体会这种感受的唯一方式 就是听我试图去向你描述	Right now, the only way you can be on the field is for me to try and describe it to you.
我必须要借助语言	I have to use words.
来建立起一个框架 然后你运用想像力去充实它	I have to create a framework that you then fill in with your imagination.
而有了谷歌眼镜 我们可以把它放在橄榄球头盔下 这样我们就能体会到 以100英里／小时的速度 在球场上奔跑的感受 你能听到血液在耳中 怦怦搏动的声音	With Google Glass, we can put that underneath a helmet, and we can get a sense of what it's like to be running down the field at 100 miles an hour, your blood pounding in your ears.
还能体会到 一个250磅重的人 向你飞奔而来的感受 他竭尽全力 要把你放倒	You can get a sense of what it's like to have a 250-pound man sprinting at you trying to decapitate you with every ounce of his being.
我就曾被放倒过 那感觉可不怎么样	And I've been on the receiving end of that, and it doesn't feel very good.
让我们来看看这段视频	So let's pull up some video.
