Bosnians protest Croatian plans for nuclear waste facility	クロアチアが核処理施設計画　ボスニア人が抗議
U.S. Immigration and Customs Enforcement officials have said Escobar-Orellana is in the United States illegally and had twice been deported before the shooting.	米移民関税捜査局当局者によると、エスコバル・オレリャナは米国に不法滞在しており、この銃撃の前に二度強制送還されていた。
He was convicted in 2010 of illegal entry into the U.S.	彼は2010年に米国への不法入国で有罪判決を受けている。
Distribution of adverts implementing header bidding via Prebid.js in Logicad for Publishers (hereafter, LFP) offered by So-net Media Networks (SMN), has begun.	ソネット・メディア・ネットワークス（以下、SMN）は提供する「Logicad for Publishers 」 （ 以下、LFP）において「Prebid.js」によるヘッダービディングでの広告配信を開始した。
LFP is a service that allows advertisers to individually plan and purchase advertising space according to their needs.	LFPは、広告主ごとの要望に合わせた、独自の広告枠の買い付け・プランニングを実現するサービス。
In cooperation with publishers, this service provides effective advertising space through the DSP Logicad.	本サービスは、媒体社との連携により、DSP「Logicad」を介した効果的な広告枠を提供する。
Header bidding is a technique that allows multiple bidders (advertising companies) to bid fairly, so that the highest-bidding adverts will be displayed preferentially on the publisher's media platform.	ヘッダービディングとは、複数のビッダー（広告配信企業）で公平な入札競争を行うことで、媒体社が運営するメディアに単価の高い広告を優先的に配信することができる仕組み。
It is increasingly being adopted by major media companies as a solution that offers a high level of transparency and increased revenue.	媒体社にとって透明性が高く、収益改善が期待できるソリューションとして、大手メディアを中心に導入が進んでいるという。
Up until now, Logicad had offered advertising space via SSP.	これまで「Logicad」では、広告枠についてSSPを介し提供してきた。
However, in recent years, in response to advertisers' wish to be able to "distribute ads to specific advertising spaces that are in line with their brand image or individual products", we launched LFP last December in cooperation with publishers, allowing the direct purchase of advertising space that suits the advertisers' needs.	近年、広告主からの 、 「 個々の商材やブランドイメージとの親和性が高い特定の広告枠へ配信を行いたい」との要望に応えるため、媒体社との連携による、広告主の要望に添った広告枠の買い付けを直接行うLFPを昨年12月より開始した。
With adding support for header bidding, the number of places where LFP is used will increase.	今回、ヘッダービディングへの対応により、LFPの導入先が拡充される。
One of the many benefits for advertisers is that the support of header bidding in LFP will make it possible to directly participate in bidding for advertising space eligible for header bidding, thereby increasing the opportunities for ad distribution.	広告主向けメリットとしては、LFPのヘッダービディング対応により、直接ヘッダービディング対象広告枠への入札に参加可能となり、広告の配信機会の向上が期待できる。
What's more, since the target publishers are limited, the advertising space that bests fits with the brand image or individual products can be secured, thereby preventing the risk of damaging the value of the brand.	また対象の媒体社が限定されていることから、個々の商材やブランドイメージに沿った配信先の広告枠も確保され、ブランド価値毀損を防止する。
Benefits for the publisher include the "wrapper solution", a management solution that assigns each bidding company a code, making it possible for publishers to introduce them as they see fit.	媒体社向けメリットとしては、LFPが連携を進める「ラッパー（Wrapper）ソリューション」と呼ばれるビッダー各社のコードを束ねて管理するソリューションにより、媒体社の導入希望に添った取り組みが可能となることが挙げられている。
