India and Japan prime ministers meet in Tokyo	Die Premierminister Indiens und Japans trafen sich in Tokio.
His spokesman, Dmitry Peskov, later clarified that Putin didn't mean to imply that the eastern Ukrainian territory under separatist control would become part of Russia, but that its status within Ukraine had to be revised to give the Russian-speaking region the power to protect its rights and interests.	Sein Sprecher Dimitri Peskow stellte später klar, dass Putin damit nicht gemeint habe, dass das unter der Kontrolle der Separatisten stehende Gebiet der Ostukraine ein Teil Russlands werde, sondern dass sein Status gegenüber der Ukraine neu definiert werden müsse, um der russischsprachigen Region die Macht zur Vertretung seiner Rechte und Interessen zu geben.
But Putin's call upon the Kiev government to negotiate with the pro-Russia insurgents as equals corresponded with the apparent strategy he has followed since the violence began five months ago: Help the separatists take territory and force the Ukrainian government to grant the newly proclaimed Novorossiya region virtual independence to align with Russia instead of the West.	Putins Aufruf an die Kiewer Regierung zu Verhandlungen auf Augenhöhe mit den pro-russischen Aufständischen passt jedoch zu der von ihm seit Beginn der Ausschreitungen vor fünf Monaten anscheinend verfolgten Strategie: Hilfe für die Separatisten beim Einnehmen von Gebieten und Druck auf die ukrainische Regierung, um der neu proklamierten Region Novorossija faktische Unabhängigkeit für eine Allianz mit Russland statt mit dem Westen zu ermöglichen.
In an interview with state-run Channel One television, Putin denounced the Ukrainian military campaign to recover separatist-held territory in the eastern Donetsk and Luhansk regions that were seized in March and April, after Moscow annexed Ukraine's Crimean peninsula on March 18.	In einem Interview mit dem staatlichen Fernsehsender Kanal Eins verurteilte Putin die ukrainische Militärkampagne zur Rückeroberung der von Separatisten gehaltenen Gebiete in der östlichen Regionen Donezk und Luhansk, die im März und April eingenommen wurden, nachdem Moskau die ukrainische Halbinsel Krim am 18. März annektiert hatte.
The Kremlin and the separatists have lately branded the seized territory "Novorossiya," or "New Russia," a term that harkens to pre-revolutionary glory days of the Russian empire.	Der Kreml und die Separatisten haben in letzter Zeit das eingenommene Gebiet als "Novorossija" oder "Neurussland" bezeichnet, ein Begriff, der an die vorrevolutionäre Glanzzeit des russischen Imperiums erinnert.
Putin said that anyone who believed peace talks are in the offing as Ukrainian politicians launch campaigns for an Oct. 26 parliamentary election and while government troops are attacking civilian communities in separatist-held regions is "a prisoner to illusions," Itar-Tass reported.	Putin wies darauf hin, dass all diejenigen, die im Zuge der Kampagnen ukrainischer Politiker für die Wahlen am 26. Okt. und während Regierungsgruppen zivile Gemeinden in den von Separatisten gehaltenen Gebieten angreifen auf baldige Friedensgespräche hoffen "in ihren Illusionen gefangen" sind, berichtete Itar-Tass.
"We must immediately commence substantive talks and not only on technical issues, but also on the political organization of society and the statehood status of southeast Ukraine in order to serve the interests of people living there," he said.	"Wir müssen umgehend ausführliche Gespräche aufnehmen, nicht nur zu technischen Fragen, sondern auch zur politischen Organisation der Gesellschaft und dem Staatsstatus der Südostukraine, um die Interessen der dort lebenden Menschen zu wahren," sagte er.
Peskov said Putin's reference to statehood was meant in the context of the broader autonomy that has been discussed for months with the Kiev leadership as it struggles to allay fears in the Russian-speaking areas that their cultural and linguistic rights are in danger.	Peskow sagte, dass Putins Verweis auf die Staatlichkeit im Kontext mit der größeren Autonomie gesehen werden müsse, die seit Monaten von der Kiewer Führung diskutiert wird, um Befürchtungen in russischsprachigen Gebieten zu zerstreuen, dass deren kulturelle und sprachliche Rechte gefährdet seien.
Only the Ukrainian government can grant the eastern regions the necessary autonomy, Peskov said.	Nur die ukrainische Regierung kann den östlichen Gebieten die notwendige Autonomie erteilen, sagte Peskow.
It's not a matter to be negotiated between Ukraine and Russia, Peskov said, "because it's not a conflict between Russia and Ukraine, but an internal Ukrainian conflict."	Es geht hier nicht um Verhandlungen zwischen der Ukraine und Russland, sagte Peskow, "weil es nicht um einen Konflikt zwischen Russland und der Ukraine geht, sondern um einen internen Konflikt in der Ukraine."
The Kremlin spokesman's intercession to correct the "misinterpretation" of Putin's remarks underscored the Russian leadership's approach to dealing with the separatist rebellion in the east differently from its outright seizure of Crimea, where the majority of the 2 million population is ethnic Russian.	Die Klarstellung des Kremlsprechers zur Korrektur der "Fehlinterpretation" von Putins Bemerkungen unterstrich den Führungsanspruch Russlands beim Umgang mit der separatistischen Rebellion im Osten im Gegensatz zu der direkten Annektion der Krim, auf der die Mehrheit der 2 Millionen Bewohner ethnische Russen sind.
Moscow would have a much more difficult fight to annex even the Donetsk and Luhansk regions of eastern Ukraine, as most of the 6.5 million residents are not Russian and pre-conflict polls showed broad support for staying within Ukraine.	Moskau hätte weit größere Schwierigkeiten, die Regionen Donezk und Luhansk in der Ostukraine zu annektieren, da die meisten der 6,5 Millionen Einwohner keine Russen sind und Umfragen aus der Zeit vor dem Konflikt eine breite Mehrheit für den Verbleib in der Ukraine ergaben.
The autonomy that Russian diplomats have discussed in international forums would grant regional governments in Ukraine the authority to determine their own trade agreements and foreign relations, effectively handing the Kremlin de facto control over territory that would link the Russian mainland with Crimea.	Die Autonomie, die von russischen Diplomaten auf internationalen Foren angesprochen wurde, würde den regionalen Regierungen in der Ukraine Vollmacht geben, eigene Handelsabkommen und Außenbeziehungen zu verhandeln, und so dem Kreml de facto die Kontrolle über ein Gebiet geben, das das russische Staatsgebiet mit der Krim verbindet.
The Black Sea peninsula annexed five months ago is home to Russia's main naval fleet as well as commercial maritime facilities and historic coastal resorts.	Die vor fünf Monaten annektierte Halbinsel im Schwarzen Meer ist der Heimathafen für den Großteil der russischen Marine sowie ein wichtiger Handelshafen und historische Küstenregion.
The regions between Russia's Rostov area and Crimea are also home to mines, factories and foundries that produce vital components for the Russian military.	Die Regionen zwischen dem Rostowgebiet in Russland und der Krim ist darüber hinaus reich an Minen, Fabriken und Gießereien, die wichtige Komponenten für das russische Militär herstellen.
Ukrainian President Petro Poroshenko proposed during his inauguration speech on June 7 that Ukrainian lawmakers - after new elections -- weigh constitutional amendments to give more control to the disparate regions over their finances and the status of languages.	Der ukrainische Präsident Petro Poroshenko schlug bei seiner Rede zur Amtseinführung am 7. Juni vor, dass die ukrainische Gesetzgebung - nach Neuwahlen - Zusätze zur Verfassung bedenken solle, mit denen den jeweiligen Gebieten eine größere Kontrolle über ihre Finanzen und den Status der Sprachen eingeräumt wird.
But his vision of autonomy appears to differ sharply from that of the Kremlin and the separatist rebels Moscow is accused of arming and instigating.	Aber seine Vorstellung von Autonomie scheint in scharfem Gegensatz zu denen des Kreml und der separatistischen Rebellen zu stehen, deren Bewaffnung und Aufstachelung Moskau vorgeworfen wird.
Putin's latest call on Kiev to deal with the separatist leaders as equals followed new advances by the rebels last week after Russian troops and tanks entered eastern Ukraine from a previously peaceful area along the Sea of Azov.	Putins letzte Aufforderung an Kiew, mit den Separatistenführern auf Augenhöhe zu verhandeln, folgte nach einem weiteren Vordringen der Rebellen in der vergangenen Woche, nachdem russische Truppen und Panzer über die vorher friedliche Region entlang dem Asowschen Meer in die Ostukraine eingedrungen sind.
The Russian-backed separatists took control of the town of Novoazovsk in a drive that Ukrainian security officials say they fear is the opening of a campaign to seize the strategic coastal territory all the way to Crimea.	Die von Russland unterstützten Separatisten übernahmen im Handstreich, der laut Befürchtungen ukrainischer Sicherheitsbeamter der erste Schritt einer Kampagne zur Übernahme der strategischen Küstenregion bis zur Krim ist, die Kontrolle von Nowoasowsk.
That has spurred a massive civilian and military effort to fortify Mariupol, a steelmaking port of 500,000 that lies between Novoazovsk and the narrow gateway into the Crimean peninsula.	Aus diesem Grund sind massive zivile und militärische Vorbereitungen angelaufen, um Mariupol, einen Stahlindustriehafen mit 500.000 Einwohnern zu befestigen, der zwischen Nowoasowsk und dem schmalen Zugang zur Halbinsel Krim liegt.
Poroshenko on Saturday addressed a meeting of European Union leaders in Brussels to urge action to prevent further Russian aggression against Ukraine, a former Soviet republic that has been independent for 23 years.	Poroshenko sprach am Samstag bei einem Treffen der EU-Führung in Brüssel und bat dringend um Taten, um eine weitere russische Aggression gegen die Ukraine zu verhindern, eine frühere Sowjetrepublik, die seit 23 Jahren unabhängig ist.
"We are close to the point of no return," Poroshenko warned.	"Wir stehen kurz vor einem Punkt, an dem es kein Zurück mehr gibt," warnte Poroshenko.
Thousands of foreign troops and hundreds of foreign tanks are now on the territory of Ukraine.	Tausende fremder Truppen und hunderte fremder Panzer befinden sich nun auf dem Territorium der Ukraine.
The EU summit took no definitive action; the leaders called for drafting more punishing sanctions on Russia to be imposed in the event of an unspecified escalation of the Ukraine crisis.	Der EU-Gipfel beschloss keine konkreten Aktionen, die Führung verlangte den Entwurf weiterer Sanktionen gegen Russland, die bei einer unspezifizierten Eskalation der Ukrainekrise in Kraft treten sollen.
Ukrainian soldiers had to withdraw from their positions in Ilovaysk after two columns of Russian armor and 1,000 troops last week moved into the Donetsk region to bolster the beleaguered separatists, Col. Andriy Lysenko, spokesman for the Ukrainian National Security and Defense Council, told reporters in Kiev on Saturday.	Ukrainische Soldaten mussten sich von ihren Positionen in Ilowajsk zurückziehen, nachdem zwei russische Panzerkolonnen und 1.000 Soldaten letzte Woche in die Donezkregion eindrangen, um die belagerten Separatisten zu unterstützen, sagte Oberst Andrij Lysenko, Sprecher des Ukrainischen Nationalen Sicherheits- und Verteidigungsrates Reporten am Samstag in Kiew.
