Biker reagiert blitzschnell und verhindert Schlimmeres	Biker reacts lightning fast and prevents worse.
Für nächstes Jahr hoffe er, dass es gelingt, die Strecke zum Feldberg hinauf zur Sicherheit der Teilnehmer zu sperren.	Next year, he hopes to have safety barriers on the course for the benefit of those taking part on the Feldberg.
Obama empfängt Netanyahu	Obama receives Netanyahu
Das Verhältnis zwischen Obama und Netanyahu ist nicht gerade freundschaftlich.	The relationship between Obama and Netanyahu is not exactly friendly.
Die beiden wollten über die Umsetzung der internationalen Vereinbarung sowie über Teherans destabilisierende Maßnahmen im Nahen Osten sprechen.	The two wanted to talk about the implementation of the international agreement and about Teheran's destabilising activities in the Middle East.
Bei der Begegnung soll es aber auch um den Konflikt mit den Palästinensern und die diskutierte Zwei-Staaten-Lösung gehen.	The meeting was also planned to cover the conflict with the Palestinians and the disputed two state solution.
Das Verhältnis zwischen Obama und Netanyahu ist seit Jahren gespannt.	Relations between Obama and Netanyahu have been strained for years.
Washington kritisiert den andauernden Siedlungsbau Israels und wirft Netanyahu mangelnden Willen beim Friedensprozess vor.	Washington criticises the continuous building of settlements in Israel and accuses Netanyahu of a lack of initiative in the peace process.
Durch den von Obama beworbenen Deal um das iranische Atomprogramm hat sich die Beziehung der beiden weiter verschlechtert.	The relationship between the two has further deteriorated because of the deal that Obama negotiated on Iran's atomic programme, .
Im März hatte Netanyahu auf Einladung der Republikaner vor dem US-Kongress eine umstrittene Rede gehalten, die teils als Affront gegen Obama gewertet wurde.	In March, at the invitation of the Republicans, Netanyahu made a controversial speech to the US Congress, which was partly seen as an affront to Obama.
Die Rede war mit Obama nicht abgesprochen, ein Treffen hatte dieser mit Hinweis auf die seinerzeit bevorstehende Wahl in Israel abgelehnt.	The speech had not been agreed with Obama, who had rejected a meeting with reference to the election that was at that time impending in Israel.
In einem Notruf gesteht Professor, seine Freundin erschossen zu haben	In 911 Call, Professor Admits to Shooting Girlfriend
In einem Notruf erzählte Professor Shannon Lamb mit einer etwas zittrigen Stimme der Polizei, dass er seine Freundin erschossen habe und dass die Beamten zu seinem Haus kommen müssten.	In a 911 call, his voice only slightly shaky, college professor Shannon Lamb told police he had shot his girlfriend and officers needed to get over to their house.
Lamb war es wichtig zu betonen, dass sein "süßer Hund" aber noch lebe und wahrscheinlich aufgeregt sei, und er sagte, die Familienkontakte der toten Frau könnten auf dem Handy gefunden werden.	Lamb made a point to say his "sweet dog" was there alive and probably upset, and said the dead woman's family contacts could be found on her phone.
Innerhalb des Hauses fanden die Beamten die Leiche von Amy Prentiss und eine handgeschriebene Notiz, die auf einen weißen Block gekritzelt war: "Mir tut es so leid, ich wollte, ich könnte es rückgängig machen, ich liebte Amy und sie ist die einzige Frau, die mich jemals liebte". Dies stand nach Angaben der Behörden in dem Brief, und er war von Lamb unterzeichnet.	Inside the home, officers found Amy Prentiss' body and a hand-written note scribbled on a white legal pad: "I am so very sorry I wish I could take it back I loved Amy and she is the only woman who ever loved me," read the letter authorities say was signed by Lamb.
Es gab keinen Hinweis darauf, dass Lamb, der in zwei Online-Kursen für die Delta State University in Cleveland, Mississippi, unterrichtete, bereits 300 Meilen zu dem Schulgelände gereist war, wo er nach Angaben der Polizei einen beliebten Geschichtsprofessor, Ethan Schmidt, an der Tür zu seinem Büro erschossen und getötet hat.	There was no indication that Lamb, who was teaching two online classes for Delta State University in Cleveland, Mississippi, had already traveled 300 miles to the school's campus, where police believe he shot and killed a well-liked history professor, Ethan Schmidt, in the doorway to his office.
Delta State University Polizeichef Lynn Buford sagte, dass Universitäts-Mitarbeiter das Schießen um 10:18 Uhr gehört haben.	Delta State University police chief Lynn Buford said university officials heard about the shooting at 10:18 a.m.
Er sagte, dass Lamb den verhängnisvollen Notruf irgendwann danach gemacht hat.	He said Lamb made the fateful 911 call sometime after that.
Bis zum Ende des Tages gab es einen weiteren Tod: Lamm nahm sich das Leben, als die Polizei ihn einkesselte.	By the end of the day, there would be one more death: Lamb took his own life as police closed in on him.
Einen Tag nach der Schießerei in der Universität, die Studenten und Dozenten dazu zwang, sich hinter verschlossenen Türen zu verstecken, versuchen die Behörden immer noch, sich ein Bild davon zu verschaffen, was Lamb motivierte.	A day after the school shooting forced students and faculty to hide behind locked doors, authorities were still trying to piece together what motivated Lamb.
Die von den Ermittlern an beiden Enden des Staates veröffentlichten Details, wie auch das, was Studenten und Mitarbeiter, die ihn kannten, aussagten, half dabei, ein Bild von einem talentierten, aber möglicherweise schwierigen Lehrer zu zeichnen.	The details released by investigators at both ends of the state as well as students and staff who knew him helped paint a picture of a talented but possibly troubled teacher.
Studenten sagten, dass sie sich auf seinen Unterricht freuten.	Students said they looked forward to his class.
Die Polizei in Gautier, wo Prentiss starb, sagte, er habe keine Geschichte der Gewalt oder eine kriminelle Vorgeschichte.	Police in Gautier, where Prentiss died, said he had no history of violence or criminal record.
Schmidt selbst hatte Lamb in einem von ihm geschriebenen Buch erwähnt, in dem er die "wunderbaren Menschen" erwähnte, mit denen er sein akademisches Leben teilte.	Schmidt himself had included Lamb in a book he wrote where he acknowledged the "wonderful people" he shared his academic life with.
Beide unterrichteten in der Abteilung für Sozialwissenschaften und Geschichte, deren Lehrkörper 17 Mitglieder umfasst, und viele Studenten besuchten Kurse von beiden.	Both taught in the Division of Social Sciences and History, which lists 17 faculty members, and many students took courses from both.
Zur gleichen Zeit gab es einige Neigungen zu problematischen Verhaltensweisen.	At the same time, there were some inclinations of problems.
Ein Student, Brandon Beavers, der Lamb lobte, sagte, er schien auch ein wenig aufgeregt und nervös, "als ob etwas mit ihm falsch sei."	A student who praised Lamb, Brandon Beavers, said he also seemed agitated and jittery, "like there was something wrong with him."
Ein anderer Student, Mikel Sykes, sagte, dass Lamm ihm erzählt habe, dass er am Ende des akademischen Jahres 2014-15 mit Stress zu tun hatte.	Another student, Mikel Sykes, said Lamb told him he was dealing with stress at the end of the 2014-15 academic year.
Lamb hatte zuvor die Delta State University um eine Beurlaubung aus gesundheitlichen Gründen gebeten und dabei gesagt, dass er irgendein gesundheitliches Problem habe.	Lamb had earlier asked Delta State University for a medical leave of absence, saying he had a health issue of some sort.
In diesem Jahr unterrichtete er nur zwei Online-Kurse.	This year, he was only teaching two online classes.
Neueste Änderungen in der Beschäftigungspolitik der Universität bedeuteten, dass die Promotion, für die Lamb so hart gearbeitet hatte, für ihn keine Garantie für einen automatischen Weg zu einer Anstellung als Assistant-Professor darstellen würde.	Recent changes in the university's hiring policies meant that the doctorate Lamb had worked so hard to earn would not guarantee him an automatic tenure track to become an assistant professor.
Universitäts-Präsident William LaForge sagte, er wisse nichts von einem Konflikt zwischen Lamb und Schmidt, aber "natürlich gab es etwas in Mr Lambs Vorstellung."	University President William LaForge said he didn't know of any conflict between Lamb and Schmidt but "obviously there was something in Mr. Lamb's mind."
Das sind Fragen, die Lamb nicht mehr beantworten kann.	Those are questions Lamb can no longer answer.
Nach der Flucht aus dem Campus fand die Polizei später Lambs Spur, als er wieder in Mississippi aus Arkansas einfuhr.	After fleeing the campus, police later picked up Lamb's trail when he crossed back into Mississippi from Arkansas.
Bevor er festgenommen werden konnte, tötete Lamb sich selbstmit einer .38 Kaliber Pistole im Hinterhof eines Hauses etwa eine Meile südlich seines Elternhauses am Stadtrand von Greenville, Mississippi, sagte Washington County Coroner Methel Johnson.	Before he could be apprehended, Lamb killed himself with a single .38-caliber pistol in the backyard of a home about a mile south of his parents' home on the outskirts of Greenville, Mississippi, said Washington County Coroner Methel Johnson.
Sein Auto lief noch in der Einfahrt.	His car was still running in the driveway.
Es war nicht sofort klar, warum Lamm zu diesem Haus ging, aber Johnson sagte, dass sie glaubt, dass er die Leute kannte, die dort lebten.	It was not immediately clear why Lamb went to that home, though Johnson said she believes he knew the people who lived there.
Lamb wuchs in der Gegend auf.	Lamb grew up in the area.
Lamb begann 2009 seine Arbeit an der Universität, die 3.500 Studenten in einer Stadt mit etwa 12.000 Einwohnern hat und unterrichtete Geographie und Pädagogik.	Lamb started working at the university, which has 3,500 students in a city of about 12,000, in 2009 and taught geography and education classes.
Er promovierte im Frühjahr in Pädagogik.	He received a doctorate in education in the spring.
Einer der langjährigen Freundinnen Lambs bezeichnete ihn als intelligent, charismatisch und lustig.	One of Lamb's longtime friends described him as smart, charismatic and funny.
Carla Hairston sagte, sie war 15 und Lamm war 20, als sie sich durch gemeinsame Freunde trafen.	Carla Hairston said she was 15 and Lamb was 20 when they met through mutual friends.
Sie und ihre Freunde waren in der High School, und er war der coole ältere Kerl, der einige Jahre versuchte, ihr das Gitarrenspiel beizubringen.	She and her friends were in high school, and he was the cool older guy who tried for several years to teach her to play guitar.
Er war damals der Frauenschwarm.	He was quite the heartthrob back then.
Alle Mädchen schmolzen dahin, wenn er da war", sagte Hairston, jetzt 40 und in der Jackson Vorstadt von Brandon wohnhaft.	All the girls would melt when he was around," said Hairston, now 40 and living in the Jackson suburb of Brandon.
Lamb und Prentiss waren offensichtlich einige Zeit zusammen.	Lamb and Prentiss had apparently been dating for some time.
In dem Notruf sagte Lamb "Ich habe meine Frau getötet", aber es gab keine Urkunde von einer Heirat.	In the 911 call, Lamb said "I killed my wife," but there was no record of them ever marrying.
Sie hatten einen Hund namens Lightning, der mit ihnen in dem Backstein-Haus lebte, das an einen Bayou in Gautier angrenzt.	They had a dog named Lightning that lived with them at the brick house that backs up to a bayou in Gautier.
