Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉
From the middle of 2014 to the middle of 2015, the United States Central Command's most senior intelligence leaders manipulated the command's intelligence products to downplay the threat from ISIS in Iraq.	自2014年中期到2015年中期，美国中央司令部的大部分高层情报官员操控了司令部的情报产品，隐瞒了伊拉克伊斯兰国的威胁。
Republicans created the task force after learning that analysts had raised concerns that intelligence about the Islamic State was being manipulated.	共和党在从分析员那里得知有关伊斯兰国的情报被操控后，成立了一个专项工作小组。
The report released Thursday is to be followed up by more extensive findings as the investigation continues.	随着调查的继续，继周四发布的这篇报告后将会有更多发现。
There is an additional, ongoing investigation of Centcom intelligence by the Department of Defense inspector general.	国防部总检察长也对中央司令部进行了长期调查。
Democratic members of the House Intelligence Committee released their own findings on Thursday that agreed with some of the conclusions of the Republican task force.	众议院情报委员会的民主党成员于周四公布了其调查结果，与共和党专项工作小组的部分结论相一致。
"Between 2014 and 2015, Centcom created an overly insular process for producing intelligence assessments on ISIL and Iraqi Security Forces," Representative Adam B. Schiff, the committee's top Democrat, said in a statement.	委员会民主党领袖代表谢安达在一份声明中表示：2014年至2015年期间，中央司令部针对伊斯兰国和伊拉克维和部队的情报评估制定了一项过于狭隘的流程。”
This process, Mr. Schiff said, "stalled the release of intelligence products," hurt morale among analysts and "insufficiently accommodated dissenting views."	谢安达先生表示，该流程“妨碍了情报的发布”、降低了分析员的士气并且“无法接受不同的意见。”
But Mr. Schiff and the Democrats said they found no evidence that the White House tried to pressure Centcom analysts to fit their conclusions to a "preset or political narrative."	但谢安达先生与民主党人还表示，他们未发现任何证据能够证明白宫试图给中央司令部的分析员施加压力，从而时他们的结论符合“预设或政治叙事。”
The preliminary results of the congressional investigation were reported Tuesday by The Daily Beast.	《野兽日报》在周二报导了国会调查的初步结果。
Last August, The New York Times reported the existence of the Pentagon inspector general investigation, opened after complaints by Centcom analysts.	去年八月，《纽约时报》报导了在收到中央司令部分析员的投诉后，五角大楼总检察长开始进行调查。
Lt. Cmdr. Patrick Evans, a Pentagon spokesman, said in a statement that the Defense Department would not comment on the congressional report while the inspector general's investigation continued.	五角大楼发言人海军少校帕特里克·埃文斯在一份声明中表示，在总检察长的调查未结束前，国防部不对这份国会报告发表任何评论。
But he said that "experts sometimes disagree on the interpretation of complex data, and the intelligence community and Department of Defense welcome healthy dialogue on these vital national security topics."	但他表示：“专家有时会对复杂数据的解读产生分歧，而情报机构和国防部鼓励就这些重要的国家安全主题进行健康的对话。”
The investigation has repercussions beyond the question of whether the American-led bombing campaign in Iraq and Syria is succeeding (an assertion now made by a growing number of Defense officials).	此次调查的影响已超过了美国领导的在伊拉克和叙利亚的轰炸行动是否取得 （越来越多国防部官员所声称的) 成功这一问题。
But last year's allegations called into question how much President Obama could rely on Central Command for honest assessments of military operations in Iraq, Afghanistan, Libya and other crisis spots.	但去年，这些主张使公众质疑奥巴马总统可以在多大程度上信任中央司令部所发布的伊拉克、阿富汗、利比亚和其他危机地区的军事行动评估。
The critiques on the Islamic State intelligence mirror disputes of more than a decade ago, when a Centcom intelligence analyst, Gregory Hooker, wrote a research paper saying that the administration of President George W. Bush, over many analysts" objections, advocated a small force in Iraq and spent little time thinking about what would follow the 2003 invasion.	有关伊斯兰国情报的批评令人想起出十多年前的争议，当时中央司令部情报分析员格雷戈里·胡克撰写了一篇研究文章，文中指出乔治·布什的政府不顾众多分析员的反对，坚持派遣小规模的部队前往伊拉克并且几乎没有考虑2003年入侵后的情况。
Mr. Hooker also played a key part in the insurrection over the Islamic State intelligence.	胡克先生在此次关于伊斯兰国情报的反对活动中扮演了关键角色。
Last year, officials said, Mr. Hooker's team concluded that despite public statements to the contrary, airstrikes against Islamic State-held refineries had not significantly weakened the terrorist group's finances because it had built makeshift refineries to sell oil on the black market.	去年，有官员表示，胡克先生的团队所得出的结论是针对伊斯兰国炼油厂的空袭并未大幅削减恐怖组织的经济收入，因为该恐怖组织建造了临时炼油厂继续在黑市上出售石油，而这与所公布的声明大相径庭。
But the finding was not distributed outside Central Command, The Times reported in September.	根据《时代周刊》9月的报道，中央司令部未对外公布这一发现。
Centcom's commander then, Gen. Lloyd J. Austin III, came under criticism last year after Senate testimony viewed by many lawmakers as being an overly positive assessment of the war.	当多名律师审阅了有关对于战争作出过度乐观评估的参议院证词后，中央司令部指挥官劳埃德·奥斯汀三世去年饱受批评。
General Austin retired in April and was replaced at Central Command by Gen. Joseph L. Votel.	奥斯汀将军于4月退役，目前由约瑟夫·沃特尔接替他在中央司令部的职位。
U.S. Wins 4th Straight in Women's Field Hockey, Setting Up Showdown With Britain	美国在女子曲棍球赛中获得四连胜，将与英国一决胜负
One day after scoring three goals in a 6-1 victory over Japan, Katie Bam scored the first two goals for the United States women's field hockey team on Thursday as the Americans defeated India, 3-0.	在6比1战胜日本的比赛中独中三元的凯蒂·巴姆于周四为美国女子曲棍球队率先梅开二度，帮助美国队以3比0战胜印度队。
Five goals in two games should be a memorable feat, but Bam, 27, said she was not sure if she had ever done the same thing.	两场比赛五粒进球堪称技惊四座，但27岁的巴姆却表示她不知道自己有如此出色的表现。
"I have no clue," she said.	她表示：“我对此一无所知。”
I'm not really one of those people who keeps track of their goals.	我不是那种会记住自己进过几个球的人。
Here is what she does know: The Americans are 4-0 in the Olympic tournament and are tied for first place in their group with Britain, which remained unbeaten after defeating Japan, 2-0, on Thursday.	她所知道的是美国队在奥运会上已取得四连胜并且将与小组中在周四以2比0战胜了日本队后未尝败绩的英国队争夺小组第一。
