ほのかが【田中みな実さん風ヘア】になる！	Honoka's New [Tanaka Minami hairstlye] Look!
現在拘留中のウォルターは、2005年の薬物事件で保護観察中であったため、その遵守事項違反ですでに懲役5か月が言い渡されている。	Walter, who is on supervised release in a 2005 drug case, is in custody and has already been ordered to serve five months in prison for violating the terms of his release.
木曜日にセレブサイトTMZにより最初に報道された本件を担当する検察官らは、国外逃亡の可能性が非常に高いことを理由に公判開始までウォルターを拘留しておくよう要請している。	Prosecutors handling the case, which was first reported Thursday by celebrity website TMZ, are asking that Walter remain in custody while he awaits trial, calling him a serious flight risk.
弁護士宛ての留守番電話メッセージにはすぐに返事がなかった。	A phone message left with his lawyer wasn't immediately returned.
ペティットは9月4日連邦裁判所に起訴されているが、弁護人はコメントを拒否している。	Pettit was charged in federal court on Sept. 4, and his attorney has declined to comment.
ミラーの歌詞には鬱や薬物使用についての率直な言葉がつづられており、ヒップホップ界でも大御所の一人としてファンを獲得してきた。	Miller's rhymes included frank discussion of his depression and drug use, earning him fans among some of the biggest names in hip-hop.
ピッツバーグ出身のミラー、本名マルコム・ジェームス・マイヤース・マコーミック、は歌手のアリアナ・グランデと2年間交際していたが2018年初頭に破局していた。	The Pittsburgh native whose real name was Malcolm James Myers McCormick was also in a two-year relationship with singer Ariana Grande that ended earlier in 2018.
ミラーの死後グランデは、自身のインスタグラムに愛のこもったミラーの動画を投稿し「サンキュー・ネクスト」という、ミラーについて愛情を込めて綴った曲を発表した。	After his death, she posted an affectionate video of him on her Instagram page and released a song, "Thank U Next," that lovingly mentioned him.
ミラーもまた、近年のオピオイド系薬物乱用が関連して死亡したミュージシャンの一人だ。	Miller is among the musicians whose deaths have been linked in recent years to opioid abuse.
ロックバンド3ドアーズ・ダウンのギタリストマシュー・ロバーツも、2016年薬物の過剰摂取が原因で死亡しており、体内からはフェンタニルとヒドロコドンが検出されている。	Matthew Roberts, guitarist for the band 3 Doors Down, also died of an overdose in 2016 and had fentanyl and hydrocodone in his system.
この記事ではウォルターの名前の綴りをStevenではなくStephenと訂正した。	This story has been corrected to show that Walter's first name is spelled Stephen, not Steven.
ナイジェリアの９歳児、モバイルゲーム３０個以上開発	9 year old Nigerian builds more than 30 mobile games
この９歳児は、スクラッチ２という無料プログラミングアプリを使用して、かくれんぼゲームを製作中である。	The 9-year-old is building a hide and seek game, using a free programming application called Scratch 2.
スクラッチ２を使うと、ゲーム、アニメ、ストーリーなどをオン・オフラインの状態で製作できる。	Scratch 2 allows users to create games, animations, and stories online or offline.
これまでにバジルちゃんは、このアプリを使用してモバイルゲーム３０個以上を作ってきた。	So far, Basil has used it to generate more than 30 mobile games.
